Tag	VR	Name	
(0008,0034)	TM	Overlay Time	Retired
(0008,0035)	TM	Curve Time	Retired
(0008,0040)	US	Data Set Type	Retired
(0008,0041)	LO	Data Set Subtype	Retired
(0008,0042)	CS	Nuclear Medicine Series Type	Retired
(0008,0050)	SH	Accession Number	
(0008,0051)	SQ	Issuer of Accession Number Sequence	
(0008,0052)	CS	Query/Retrieve Level	
(0008,0053)	CS	Query/Retrieve View	
(0008,0054)	AE	Retrieve AE Title	
(0008,0055)	AE	Station AE Title	
(0008,0056)	CS	Instance Availability	
(0008,0058)	UI	Failed SOP Instance UID List	
(0008,0060)	CS	Modality	
(0008,0061)	CS	Modalities in Study	
(0008,0062)	UI	SOP Classes in Study	
(0008,0064)	CS	Conversion Type	
(0008,0068)	CS	Presentation Intent Type	
(0008,0070)	LO	Manufacturer	
(0008,0080)	LO	Institution Name	
(0008,0081)	ST	Institution Address	
(0008,0082)	SQ	Institution Code Sequence	
(0008,0090)	PN	Referring Physician's Name	
(0008,0092)	ST	Referring Physician's Address	
(0008,0094)	SH	Referring Physician's Telephone Numbers	
(0008,0096)	SQ	Referring Physician Identification Sequence	
(0008,009C)	PN	Consulting Physician's Name	
(0008,009D)	SQ	Consulting Physician Identification Sequence	
(0008,0100)	SH	Code Value	
(0008,0101)	LO	Extended Code Value	
(0008,0102)	SH	Coding Scheme Designator	
(0008,0103)	SH	Coding Scheme Version	
(0008,0104)	LO	Code Meaning	
(0008,0105)	CS	Mapping Resource	
(0008,0106)	DT	Context Group Version	
(0008,0107)	DT	Context Group Local Version	
(0008,0108)	LT	Extended Code Meaning	
(0008,010B)	CS	Context Group Extension Flag	
(0008,010C)	UI	Coding Scheme UID	
(0008,010D)	UI	Context Group Extension Creator UID	
(0008,010F)	CS	Context Identifier	
(0008,0110)	SQ	Coding Scheme Identification Sequence	
(0008,0112)	LO	Coding Scheme Registry	
(0008,0114)	ST	Coding Scheme External ID	
(0008,0115)	ST	Coding Scheme Name	
(0008,0116)	ST	Coding Scheme Responsible Organization	
(0008,0117)	UI	Context UID	
(0008,0118)	UI	Mapping Resource UID	
(0008,0119)	UC	Long Code Value	
(0008,0120)	UR	URN Code Value	
(0008,0121)	SQ	Equivalent Code Sequence	
(0008,0122)	LO	Mapping Resource Name	
(0008,0123)	SQ	Context Group Identification Sequence	
(0008,0124)	SQ	Mapping Resource Identification Sequence	
(0008,0201)	SH	Timezone Offset From UTC	
(0008,0300)	SQ	Private Data Element Characteristics Sequence	
(0008,0301)	US	Private Group Reference	
(0008,0302)	LO	Private Creator Reference	
(0008,0303)	CS	Block Identifying Information Status	
(0008,0304)	US	Nonidentifying Private Elements	
(0008,0306)	US	Identifying Private Elements	
(0008,0305)	SQ	Deidentification Action Sequence	
(0008,0307)	CS	Deidentification Action	
(0008,1000)	AE	Network ID	Retired
(0008,1010)	SH	Station Name	
(0008,1030)	LO	Study Description	
(0008,1032)	SQ	Procedure Code Sequence	
(0008,103E)	LO	Series Description	
(0008,103F)	SQ	Series Description Code Sequence	
(0008,1040)	LO	Institutional Department Name	
(0008,1048)	PN	Physician(s) of Record	
(0008,1049)	SQ	Physician(s) of Record Identification Sequence	
(0008,1050)	PN	Performing Physician's Name	
(0008,1052)	SQ	Performing Physician Identification Sequence	
(0008,1060)	PN	Name of Physician(s) Reading Study	
(0008,1062)	SQ	Physician(s) Reading Study Identification Sequence	
(0008,1070)	PN	Operators' Name	
(0008,1072)	SQ	Operator Identification Sequence	
(0008,1080)	LO	Admitting Diagnoses Description	
(0008,1084)	SQ	Admitting Diagnoses Code Sequence	
(0008,1090)	LO	Manufacturer's Model Name	
(0008,1100)	SQ	Referenced Results Sequence	Retired
(0008,1110)	SQ	Referenced Study Sequence	
(0008,1111)	SQ	Referenced Performed Procedure Step Sequence	
(0008,1115)	SQ	Referenced Series Sequence	
(0008,1120)	SQ	Referenced Patient Sequence	
(0008,1125)	SQ	Referenced Visit Sequence	
(0008,1130)	SQ	Referenced Overlay Sequence	Retired
(0008,1134)	SQ	Referenced Stereometric Instance Sequence	
(0008,113A)	SQ	Referenced Waveform Sequence	
(0008,1140)	SQ	Referenced Image Sequence	
(0008,1145)	SQ	Referenced Curve Sequence	Retired
(0008,114A)	SQ	Referenced Instance Sequence	
(0008,114B)	SQ	Referenced Real World Value Mapping Instance Sequence	
(0008,1150)	UI	Referenced SOP Class UID	
(0008,1155)	UI	Referenced SOP Instance UID	
(0008,115A)	UI	SOP Classes Supported	
(0008,1160)	IS	Referenced Frame Number	
(0008,1161)	UL	Simple Frame List	
(0008,1162)	UL	Calculated Frame List	
(0008,1163)	FD	Time Range	
(0008,1164)	SQ	Frame Extraction Sequence	
(0008,1167)	UI	Multi-frame Source SOP Instance UID	
(0008,1190)	UR	Retrieve URL	
(0008,1195)	UI	Transaction UID	
(0008,1196)	US	Warning Reason	
(0008,1197)	US	Failure Reason	
(0008,1198)	SQ	Failed SOP Sequence	
(0008,1199)	SQ	Referenced SOP Sequence	
(0008,119A)	SQ	Other Failures Sequence	
(0008,1200)	SQ	Studies Containing Other Referenced Instances Sequence	
(0008,1250)	SQ	Related Series Sequence	
(0008,2110)	CS	Lossy Image Compression (Retired)	Retired
(0008,2111)	ST	Derivation Description	
(0008,2112)	SQ	Source Image Sequence	
(0008,2120)	SH	Stage Name	
(0008,2122)	IS	Stage Number	
(0008,2124)	IS	Number of Stages	
(0008,2127)	SH	View Name	
(0008,2128)	IS	View Number	
(0008,2129)	IS	Number of Event Timers	
(0008,212A)	IS	Number of Views in Stage	
(0008,2130)	DS	Event Elapsed Time(s)	
(0008,2132)	LO	Event Timer Name(s)	
(0008,2133)	SQ	Event Timer Sequence	
(0008,2134)	FD	Event Time Offset	
(0008,2135)	SQ	Event Code Sequence	
(0008,2142)	IS	Start Trim	
(0008,2143)	IS	Stop Trim	
(0008,2144)	IS	Recommended Display Frame Rate	
(0008,2200)	CS	Transducer Position	Retired
(0008,2204)	CS	Transducer Orientation	Retired
(0008,2208)	CS	Anatomic Structure	Retired
(0008,2218)	SQ	Anatomic Region Sequence	
(0008,2220)	SQ	Anatomic Region Modifier Sequence	
(0008,2228)	SQ	Primary Anatomic Structure Sequence	
(0008,2229)	SQ	Anatomic Structure, Space or Region Sequence	
(0008,2230)	SQ	Primary Anatomic Structure Modifier Sequence	
(0008,2240)	SQ	Transducer Position Sequence	Retired
(0008,2242)	SQ	Transducer Position Modifier Sequence	Retired
(0008,2244)	SQ	Transducer Orientation Sequence	Retired
(0008,2246)	SQ	Transducer Orientation Modifier Sequence	Retired
(0008,2251)	SQ	Anatomic Structure Space Or Region Code Sequence (Trial)	Retired
(0008,2253)	SQ	Anatomic Portal Of Entrance Code Sequence (Trial)	Retired
(0008,2255)	SQ	Anatomic Approach Direction Code Sequence (Trial)	Retired
(0008,2256)	ST	Anatomic Perspective Description (Trial)	Retired
(0008,2257)	SQ	Anatomic Perspective Code Sequence (Trial)	Retired
(0008,2258)	ST	Anatomic Location Of Examining Instrument Description (Trial)	Retired
(0008,2259)	SQ	Anatomic Location Of Examining Instrument Code Sequence (Trial)	Retired
(0008,225A)	SQ	Anatomic Structure Space Or Region Modifier Code Sequence (Trial)	Retired
(0008,225C)	SQ	On Axis Background Anatomic Structure Code Sequence (Trial)	Retired
(0008,3001)	SQ	Alternate Representation Sequence	
(0008,3010)	UI	Irradiation Event UID	
(0008,3011)	SQ	Source Irradiation Event Sequence	
(0008,3012)	UI	Radiopharmaceutical Administration Event UID	
(0008,4000)	LT	Identifying Comments	Retired
(0008,9007)	CS	Frame Type	
(0008,9092)	SQ	Referenced Image Evidence Sequence	
(0008,9121)	SQ	Referenced Raw Data Sequence	
(0008,9123)	UI	Creator-Version UID	
(0008,9124)	SQ	Derivation Image Sequence	
(0008,9154)	SQ	Source Image Evidence Sequence	
(0008,9205)	CS	Pixel Presentation	
(0008,9206)	CS	Volumetric Properties	
(0008,9207)	CS	Volume Based Calculation Technique	
(0008,9208)	CS	Complex Image Component	
(0008,9209)	CS	Acquisition Contrast	
(0008,9215)	SQ	Derivation Code Sequence	
(0008,9237)	SQ	Referenced Presentation State Sequence	
(0008,9410)	SQ	Referenced Other Plane Sequence	
(0008,9458)	SQ	Frame Display Sequence	
(0008,9459)	FL	Recommended Display Frame Rate in Float	
(0008,9460)	CS	Skip Frame Range Flag	
(0010,0010)	PN	Patient's Name	
(0010,0020)	LO	Patient ID	
(0010,0021)	LO	Issuer of Patient ID	
(0010,0022)	CS	Type of Patient ID	
(0010,0024)	SQ	Issuer of Patient ID Qualifiers Sequence	
(0010,0026)	SQ	Source Patient Group Identification Sequence	
(0010,0027)	SQ	Group of Patients Identification Sequence	
(0010,0028)	US	Subject Relative Position in Image	
(0010,0030)	DA	Patient's Birth Date	
(0010,0032)	TM	Patient's Birth Time	
(0010,0033)	LO	Patient's Birth Date in Alternative Calendar	
(0010,0034)	LO	Patient's Death Date in Alternative Calendar	
(0010,0035)	CS	Patient's Alternative Calendar	
(0010,0040)	CS	Patient's Sex	
(0010,0050)	SQ	Patient's Insurance Plan Code Sequence	
(0010,0101)	SQ	Patient's Primary Language Code Sequence	
(0010,0102)	SQ	Patient's Primary Language Modifier Code Sequence	
(0010,0200)	CS	Quality Control Subject	
(0010,0201)	SQ	Quality Control Subject Type Code Sequence	
(0010,0212)	UC	Strain Description	
(0010,0213)	LO	Strain Nomenclature	
(0010,0214)	LO	Strain Stock Number	
(0010,0215)	SQ	Strain Source Registry Code Sequence	
(0010,0216)	SQ	Strain Stock Sequence	
(0010,0217)	LO	Strain Source	
(0010,0218)	UT	Strain Additional Information	
(0010,0219)	SQ	Strain Code Sequence	
(0010,1000)	LO	Other Patient IDs	
(0010,1001)	PN	Other Patient Names	
(0010,1002)	SQ	Other Patient IDs Sequence	
(0010,1005)	PN	Patient's Birth Name	
(0010,1010)	AS	Patient's Age	
(0010,1020)	DS	Patient's Size	
(0010,1021)	SQ	Patient's Size Code Sequence	
(0010,1030)	DS	Patient's Weight	
(0010,1040)	LO	Patient's Address	
(0010,1050)	LO	Insurance Plan Identification	Retired
(0010,1060)	PN	Patient's Mother's Birth Name	
(0010,1080)	LO	Military Rank	
(0010,1081)	LO	Branch of Service	
(0010,1090)	LO	Medical Record Locator	
(0010,1100)	SQ	Referenced Patient Photo Sequence	
(0010,2000)	LO	Medical Alerts	
(0010,2110)	LO	Allergies	
(0010,2150)	LO	Country of Residence	
(0010,2152)	LO	Region of Residence	
(0010,2154)	SH	Patient's Telephone Numbers	
(0010,2155)	LT	Patient's Telecom Information	
(0010,2160)	SH	Ethnic Group	
(0010,2180)	SH	Occupation	
(0010,21A0)	CS	Smoking Status	
(0010,21B0)	LT	Additional Patient History	
(0010,21C0)	US	Pregnancy Status	
(0010,21D0)	DA	Last Menstrual Date	
(0010,21F0)	LO	Patient's Religious Preference	
(0010,2201)	LO	Patient Species Description	
(0010,2202)	SQ	Patient Species Code Sequence	
(0010,2203)	CS	Patient's Sex Neutered	
(0010,2210)	CS	Anatomical Orientation Type	
(0010,2292)	LO	Patient Breed Description	
(0010,2293)	SQ	Patient Breed Code Sequence	
(0010,2294)	SQ	Breed Registration Sequence	
(0010,2295)	LO	Breed Registration Number	
(0010,2296)	SQ	Breed Registry Code Sequence	
(0010,2297)	PN	Responsible Person	
(0010,2298)	CS	Responsible Person Role	
(0010,2299)	LO	Responsible Organization	
(0010,4000)	LT	Patient Comments	
(0010,9431)	FL	Examined Body Thickness	
(0012,0010)	LO	Clinical Trial Sponsor Name	
(0012,0020)	LO	Clinical Trial Protocol ID	
(0012,0021)	LO	Clinical Trial Protocol Name	
(0012,0030)	LO	Clinical Trial Site ID	
(0012,0031)	LO	Clinical Trial Site Name	
(0012,0040)	LO	Clinical Trial Subject ID	
(0012,0042)	LO	Clinical Trial Subject Reading ID	
(0012,0050)	LO	Clinical Trial Time Point ID	
(0012,0051)	ST	Clinical Trial Time Point Description	
(0012,0060)	LO	Clinical Trial Coordinating Center Name	
(0012,0062)	CS	Patient Identity Removed	
(0012,0063)	LO	De-identification Method	
(0012,0064)	SQ	De-identification Method Code Sequence	
(0012,0071)	LO	Clinical Trial Series ID	
(0012,0072)	LO	Clinical Trial Series Description	
(0012,0081)	LO	Clinical Trial Protocol Ethics Committee Name	
(0012,0082)	LO	Clinical Trial Protocol Ethics Committee Approval Number	
(0012,0083)	SQ	Consent for Clinical Trial Use Sequence	
(0012,0084)	CS	Distribution Type	
(0012,0085)	CS	Consent for Distribution Flag	
(0014,0023)	ST	CAD File Format	Retired
(0014,0024)	ST	Component Reference System	Retired
(0014,0025)	ST	Component Manufacturing Procedure	
(0014,0028)	ST	Component Manufacturer	
(0014,0030)	DS	Material Thickness	
(0014,0032)	DS	Material Pipe Diameter	
(0014,0034)	DS	Material Isolation Diameter	
(0014,0042)	ST	Material Grade	
(0014,0044)	ST	Material Properties Description	
(0014,0045)	ST	Material Properties File Format (Retired)	Retired
(0014,0046)	LT	Material Notes	
(0014,0050)	CS	Component Shape	
(0014,0052)	CS	Curvature Type	
(0014,0054)	DS	Outer Diameter	
(0014,0056)	DS	Inner Diameter	
(0014,0100)	LO	Component Welder IDs	
(0014,0101)	CS	Secondary Approval Status	
(0014,0102)	DA	Secondary Review Date	
(0014,0103)	TM	Secondary Review Time	
(0014,0104)	PN	Secondary Reviewer Name	
(0014,0105)	ST	Repair ID	
(0014,0106)	SQ	Multiple Component Approval Sequence	
(0014,0107)	CS	Other Approval Status	
(0014,0108)	CS	Other Secondary Approval Status	
(0014,1010)	ST	Actual Environmental Conditions	
(0014,1020)	DA	Expiry Date	
(0014,1040)	ST	Environmental Conditions	
(0014,2002)	SQ	Evaluator Sequence	
(0014,2004)	IS	Evaluator Number	
(0014,2006)	PN	Evaluator Name	
(0014,2008)	IS	Evaluation Attempt	
(0014,2012)	SQ	Indication Sequence	
(0014,2014)	IS	Indication Number	
(0014,2016)	SH	Indication Label	
(0014,2018)	ST	Indication Description	
(0014,201A)	CS	Indication Type	
(0014,201C)	CS	Indication Disposition	
(0014,201E)	SQ	Indication ROI Sequence	
(0014,2030)	SQ	Indication Physical Property Sequence	
(0014,2032)	SH	Property Label	
(0014,2202)	IS	Coordinate System Number of Axes	
(0014,2204)	SQ	Coordinate System Axes Sequence	
(0014,2206)	ST	Coordinate System Axis Description	
(0014,2208)	CS	Coordinate System Data Set Mapping	
(0014,220A)	IS	Coordinate System Axis Number	
(0014,220C)	CS	Coordinate System Axis Type	
(0014,220E)	CS	Coordinate System Axis Units	
(0014,2210)	OB	Coordinate System Axis Values	
(0014,2220)	SQ	Coordinate System Transform Sequence	
(0014,2222)	ST	Transform Description	
(0014,2224)	IS	Transform Number of Axes	
(0014,2226)	IS	Transform Order of Axes	
(0014,2228)	CS	Transformed Axis Units	
(0014,222A)	DS	Coordinate System Transform Rotation and Scale Matrix	
(0014,222C)	DS	Coordinate System Transform Translation Matrix	
(0014,3011)	DS	Internal Detector Frame Time	
(0014,3012)	DS	Number of Frames Integrated	
(0014,3020)	SQ	Detector Temperature Sequence	
(0014,3022)	ST	Sensor Name	
(0014,3024)	DS	Horizontal Offset of Sensor	
(0014,3026)	DS	Vertical Offset of Sensor	
(0014,3028)	DS	Sensor Temperature	
(0014,3040)	SQ	Dark Current Sequence	
(0014,3050)	OB or OW	Dark Current Counts	
(0014,3060)	SQ	Gain Correction Reference Sequence	
(0014,3070)	OB or OW	Air Counts	
(0014,3071)	DS	KV Used in Gain Calibration	
(0014,3072)	DS	MA Used in Gain Calibration	
(0014,3073)	DS	Number of Frames Used for Integration	
(0014,3074)	LO	Filter Material Used in Gain Calibration	
(0014,3075)	DS	Filter Thickness Used in Gain Calibration	
(0014,3076)	DA	Date of Gain Calibration	
(0014,3077)	TM	Time of Gain Calibration	
(0014,3080)	OB	Bad Pixel Image	
(0014,3099)	LT	Calibration Notes	
(0014,4002)	SQ	Pulser Equipment Sequence	
(0014,4004)	CS	Pulser Type	
(0014,4006)	LT	Pulser Notes	
(0014,4008)	SQ	Receiver Equipment Sequence	
(0014,400A)	CS	Amplifier Type	
(0014,400C)	LT	Receiver Notes	
(0014,400E)	SQ	Pre-Amplifier Equipment Sequence	
(0014,400F)	LT	Pre-Amplifier Notes	
(0014,4010)	SQ	Transmit Transducer Sequence	
(0014,4011)	SQ	Receive Transducer Sequence	
(0014,4012)	US	Number of Elements	
(0014,4013)	CS	Element Shape	
(0014,4014)	DS	Element Dimension A	
(0014,4015)	DS	Element Dimension B	
(0014,4016)	DS	Element Pitch A	
(0014,4017)	DS	Measured Beam Dimension A	
(0014,4018)	DS	Measured Beam Dimension B	
(0014,4019)	DS	Location of Measured Beam Diameter	
(0014,401A)	DS	Nominal Frequency	
(0014,401B)	DS	Measured Center Frequency	
(0014,401C)	DS	Measured Bandwidth	
(0014,401D)	DS	Element Pitch B	
(0014,4020)	SQ	Pulser Settings Sequence	
(0014,4022)	DS	Pulse Width	
(0014,4024)	DS	Excitation Frequency	
(0014,4026)	CS	Modulation Type	
(0014,4028)	DS	Damping	
(0014,4030)	SQ	Receiver Settings Sequence	
(0014,4031)	DS	Acquired Soundpath Length	
(0014,4032)	CS	Acquisition Compression Type	
(0014,4033)	IS	Acquisition Sample Size	
(0014,4034)	DS	Rectifier Smoothing	
(0014,4035)	SQ	DAC Sequence	
(0014,4036)	CS	DAC Type	
(0014,4038)	DS	DAC Gain Points	
(0014,403A)	DS	DAC Time Points	
(0014,403C)	DS	DAC Amplitude	
(0014,4040)	SQ	Pre-Amplifier Settings Sequence	
(0014,4050)	SQ	Transmit Transducer Settings Sequence	
(0014,4051)	SQ	Receive Transducer Settings Sequence	
(0014,4052)	DS	Incident Angle	
(0014,4054)	ST	Coupling Technique	
(0014,4056)	ST	Coupling Medium	
(0014,4057)	DS	Coupling Velocity	
(0014,4058)	DS	Probe Center Location X	
(0014,4059)	DS	Probe Center Location Z	
(0014,405A)	DS	Sound Path Length	
(0014,405C)	ST	Delay Law Identifier	
(0014,4060)	SQ	Gate Settings Sequence	
(0014,4062)	DS	Gate Threshold	
(0014,4064)	DS	Velocity of Sound	
(0014,4070)	SQ	Calibration Settings Sequence	
(0014,4072)	ST	Calibration Procedure	
(0014,4074)	SH	Procedure Version	
(0014,4076)	DA	Procedure Creation Date	
(0014,4078)	DA	Procedure Expiration Date	
(0014,407A)	DA	Procedure Last Modified Date	
(0014,407C)	TM	Calibration Time	
(0014,407E)	DA	Calibration Date	
(0014,4080)	SQ	Probe Drive Equipment Sequence	
(0014,4081)	CS	Drive Type	
(0014,4082)	LT	Probe Drive Notes	
(0014,4083)	SQ	Drive Probe Sequence	
(0014,4084)	DS	Probe Inductance	
(0014,4085)	DS	Probe Resistance	
(0014,4086)	SQ	Receive Probe Sequence	
(0014,4087)	SQ	Probe Drive Settings Sequence	
(0014,4088)	DS	Bridge Resistors	
(0014,4089)	DS	Probe Orientation Angle	
(0014,408B)	DS	User Selected Gain Y	
(0014,408C)	DS	User Selected Phase	
(0014,408D)	DS	User Selected Offset X	
(0014,408E)	DS	User Selected Offset Y	
(0014,4091)	SQ	Channel Settings Sequence	
(0014,4092)	DS	Channel Threshold	
(0014,409A)	SQ	Scanner Settings Sequence	
(0014,409B)	ST	Scan Procedure	
(0014,409C)	DS	Translation Rate X	
(0014,409D)	DS	Translation Rate Y	
(0014,409F)	DS	Channel Overlap	
(0014,40A0)	LO	Image Quality Indicator Type	
(0014,40A1)	LO	Image Quality Indicator Material	
(0014,40A2)	LO	Image Quality Indicator Size	
(0014,5002)	IS	LINAC Energy	
(0014,5004)	IS	LINAC Output	
(0014,5100)	US	Active Aperture	
(0014,5101)	DS	Total Aperture	
(0014,5102)	DS	Aperture Elevation	
(0014,5103)	DS	Main Lobe Angle	
(0014,5104)	DS	Main Roof Angle	
(0014,5105)	CS	Connector Type	
(0014,5106)	SH	Wedge Model Number	
(0014,5107)	DS	Wedge Angle Float	
(0014,5108)	DS	Wedge Roof Angle	
(0014,5109)	CS	Wedge Element 1 Position	
(0014,510A)	DS	Wedge Material Velocity	
(0014,510B)	SH	Wedge Material	
(0014,510C)	DS	Wedge Offset Z	
(0014,510D)	DS	Wedge Origin Offset X	
(0014,510E)	DS	Wedge Time Delay	
(0014,510F)	SH	Wedge Name	
(0014,5110)	SH	Wedge Manufacturer Name	
(0014,5111)	LO	Wedge Description	
(0014,5112)	DS	Nominal Beam Angle	
(0014,5113)	DS	Wedge Offset X	
(0014,5114)	DS	Wedge Offset Y	
(0014,5115)	DS	Wedge Total Length	
(0014,5116)	DS	Wedge In Contact Length	
(0014,5117)	DS	Wedge Front Gap	
(0014,5118)	DS	Wedge Total Height	
(0014,5119)	DS	Wedge Front Height	
(0014,511A)	DS	Wedge Rear Height	
(0014,511B)	DS	Wedge Total Width	
(0014,511C)	DS	Wedge In Contact Width	
(0014,511D)	DS	Wedge Chamfer Height	
(0014,511E)	CS	Wedge Curve	
(0014,511F)	DS	Radius Along the Wedge	
(0018,0010)	LO	Contrast/Bolus Agent	
(0018,0012)	SQ	Contrast/Bolus Agent Sequence	
(0018,0013)	FL	Contrast/Bolus T1 Relaxivity	
(0018,0014)	SQ	Contrast/Bolus Administration Route Sequence	
(0018,0015)	CS	Body Part Examined	
(0018,0020)	CS	Scanning Sequence	
(0018,0021)	CS	Sequence Variant	
(0018,0022)	CS	Scan Options	
(0018,0023)	CS	MR Acquisition Type	
(0018,0024)	SH	Sequence Name	
(0018,0025)	CS	Angio Flag	
(0018,0026)	SQ	Intervention Drug Information Sequence	
(0018,0027)	TM	Intervention Drug Stop Time	
(0018,0028)	DS	Intervention Drug Dose	
(0018,0029)	SQ	Intervention Drug Code Sequence	
(0018,002A)	SQ	Additional Drug Sequence	
(0018,0030)	LO	Radionuclide	Retired
(0018,0031)	LO	Radiopharmaceutical	
(0018,0032)	DS	Energy Window Centerline	Retired
(0018,0033)	DS	Energy Window Total Width	Retired
(0018,0034)	LO	Intervention Drug Name	
(0018,0035)	TM	Intervention Drug Start Time	
(0018,0036)	SQ	Intervention Sequence	
(0018,0037)	CS	Therapy Type	Retired
(0018,0038)	CS	Intervention Status	
(0018,0039)	CS	Therapy Description	Retired
(0018,003A)	ST	Intervention Description	
(0018,0040)	IS	Cine Rate	
(0018,0042)	CS	Initial Cine Run State	
(0018,0050)	DS	Slice Thickness	
(0018,0060)	DS	KVP	
(0018,0061)	DS		Retired
(0018,0070)	IS	Counts Accumulated	
(0018,0071)	CS	Acquisition Termination Condition	
(0018,0072)	DS	Effective Duration	
(0018,0073)	CS	Acquisition Start Condition	
(0018,0074)	IS	Acquisition Start Condition Data	
(0018,0075)	IS	Acquisition Termination Condition Data	
(0018,0080)	DS	Repetition Time	
(0018,0081)	DS	Echo Time	
(0018,0082)	DS	Inversion Time	
(0018,0083)	DS	Number of Averages	
(0018,0084)	DS	Imaging Frequency	
(0018,0085)	SH	Imaged Nucleus	
(0018,0086)	IS	Echo Number(s)	
(0018,0087)	DS	Magnetic Field Strength	
(0018,0088)	DS	Spacing Between Slices	
(0018,0089)	IS	Number of Phase Encoding Steps	
(0018,0090)	DS	Data Collection Diameter	
(0018,0091)	IS	Echo Train Length	
(0018,0093)	DS	Percent Sampling	
(0018,0094)	DS	Percent Phase Field of View	
(0018,0095)	DS	Pixel Bandwidth	
(0018,1000)	LO	Device Serial Number	
(0018,1002)	UI	Device UID	
(0018,1003)	LO	Device ID	
(0018,1004)	LO	Plate ID	
(0018,1005)	LO	Generator ID	
(0018,1006)	LO	Grid ID	
(0018,1007)	LO	Cassette ID	
(0018,1008)	LO	Gantry ID	
(0018,1010)	LO	Secondary Capture Device ID	
(0018,1011)	LO	Hardcopy Creation Device ID	Retired
(0018,1012)	DA	Date of Secondary Capture	
(0018,1014)	TM	Time of Secondary Capture	
(0018,1016)	LO	Secondary Capture Device Manufacturer	
(0018,1017)	LO	Hardcopy Device Manufacturer	Retired
(0018,1018)	LO	Secondary Capture Device Manufacturer's Model Name	
(0018,1019)	LO	Secondary Capture Device Software Versions	
(0018,101A)	LO	Hardcopy Device Software Version	Retired
(0018,101B)	LO	Hardcopy Device Manufacturer's Model Name	Retired
(0018,1020)	LO	Software Version(s)	
(0018,1022)	SH	Video Image Format Acquired	
(0018,1023)	LO	Digital Image Format Acquired	
(0018,1030)	LO	Protocol Name	
(0018,1040)	LO	Contrast/Bolus Route	
(0018,1041)	DS	Contrast/Bolus Volume	
(0018,1042)	TM	Contrast/Bolus Start Time	
(0018,1043)	TM	Contrast/Bolus Stop Time	
(0018,1044)	DS	Contrast/Bolus Total Dose	
(0018,1045)	IS	Syringe Counts	
(0018,1046)	DS	Contrast Flow Rate	
(0018,1047)	DS	Contrast Flow Duration	
(0018,1048)	CS	Contrast/Bolus Ingredient	
(0018,1049)	DS	Contrast/Bolus Ingredient Concentration	
(0018,1050)	DS	Spatial Resolution	
(0018,1060)	DS	Trigger Time	
(0018,1061)	LO	Trigger Source or Type	
(0018,1062)	IS	Nominal Interval	
(0018,1063)	DS	Frame Time	
(0018,1064)	LO	Cardiac Framing Type	
(0018,1065)	DS	Frame Time Vector	
(0018,1066)	DS	Frame Delay	
(0018,1067)	DS	Image Trigger Delay	
(0018,1068)	DS	Multiplex Group Time Offset	
(0018,1069)	DS	Trigger Time Offset	
(0018,106A)	CS	Synchronization Trigger	
