Coding Scheme Designator;Code Value;Code Meaning;Body Part Examined;SNOMED-RT ID (Retired);FMA Code Value;UMLS Concept UniqueID
SCT;34411009;Broad ligament;;T-D6500;;
SCT;955009;Bronchus;BRONCHUS;T-26000;;
SCT;60819002;Buccal region of face;;T-D1206;;
SCT;46862004;Buttock;BUTTOCK;T-D2600;;
SCT;80144004;Calcaneus;CALCANEUS;T-12770;;
SCT;53840002;Calf of leg;CALF;T-D9440;;
SCT;2334006;Calyx;;T-72100;;
SCT;69105007;Carotid Artery;CAROTID;T-45010;;
SCT;21479005;Carotid bulb;BULB;T-45170;50094;
SCT;57850000;Celiac artery;CELIACA;T-46400;50737;
SCT;20699002;Cephalic vein;CEPHALICV;T-49240;;
SCT;113305005;Cerebellum;CEREBELLUM;T-A6000;;
SCT;88556005;Cerebral artery;CEREBRALA;T-45510;;
SCT;372073000;Cerebral hemisphere;CEREBHEMISPHERE;T-A010F;;
SCT;122494005;Cervical spine;CSPINE;T-11501;;
SCT;297171002;Cervico-thoracic spine;CTSPINE;T-D00F7;;
SCT;71252005;Cervix;CERVIX;T-83200;;
SCT;60819002;Cheek;CHEEK;T-D1206;;
SCT;43799004;Chest;CHEST;;;
SCT;416775004;Chest, Abdomen and Pelvis;CHESTABDPELVIS;R-FAB56;;
SCT;416550000;Chest and Abdomen;CHESTABDOMEN;R-FAB55;;
SCT;80621003;Choroid plexus;CHOROIDPLEXUS;T-A1900;61934;
SCT;11279006;Circle of Willis;CIRCLEOFWILLIS;T-45520;;
SCT;51299004;Clavicle;CLAVICLE;T-12310;;
SCT;64688005;Coccyx;COCCYX;T-11BF0;;
SCT;71854001;Colon;COLON;T-59300;;
SCT;253276007;Common atrium;;D4-31005;;
SCT;79741001;Common bile duct;COMMONBILEDUCT;T-64500;;C0009437
SCT;32062004;Common carotid artery;CCA;T-45100;;
SCT;181347005;Common femoral artery;CFA;T-47402;323778;
SCT;397363009;Common femoral vein;CFV;G-035B;323829;
SCT;73634005;Common iliac artery;COMILIACA;T-46710;;
SCT;46027005;Common iliac vein;COMILIACV;T-48920;;
SCT;45503006;Common ventricle;;D4-31120;;
SCT;128555001;Congenital coronary artery fistula to left atrium;;D4-32504;;
SCT;128556000;Congenital coronary artery fistula to left ventricle;;D4-32506;;
SCT;128557009;Congenital coronary artery fistula to right atrium;;D4-32509;;
SCT;128558004;Congenital coronary artery fistula to right ventricle;;D4-32510;;
SCT;111289009;Pulmonary arteriovenous fistula;;D3-40208;;
SCT;28726007;Cornea;CORNEA;T-AA200;;
SCT;41801008;Coronary artery;CORONARYARTERY;T-43000;;
SCT;90219004;Coronary sinus;CORONARYSINUS;T-48410;;
SCT;128320002;Cranial venous system;;T-A0191;;
SCT;32672002;Descending aorta;DESCAORTA;T-42400;;
SCT;32622004;Descending colon;DESCENDINGCOLON;T-59460;;
SCT;128554002;Dodd's perforating vein;;T-49429;;
SCT;38848004;Duodenum;DUODENUM;T-58200;;
SCT;117590005;Ear;EAR;T-AB001;;
SCT;16953009;Elbow joint;ELBOW;T-15430;;
SCT;51114001;Endo-arterial;ENDOARTERIAL;T-41000;;
SCT;80891009;Endo-cardiac;ENDOCARDIAC;T-32000;;
SCT;32849002;Endo-esophageal;ENDOESOPHAGEAL;T-56000;;
SCT;2739003;Endometrium;ENDOMETRIUM;T-83400;;
SCT;53342003;Endo-nasal;ENDONASAL;T-21300;;
SCT;18962004;Endo-nasopharyngeal;ENDONASOPHARYNYX;T-23050;;
SCT;34402009;Endo-rectal;ENDORECTAL;T-59600;;
SCT;64033007;Endo-renal;ENDORENAL;T-71000;;
SCT;87953007;Endo-ureteric;ENDOURETERIC;T-73000;;
SCT;13648007;Endo-urethral;ENDOURETHRAL;T-75000;;
SCT;76784001;Endo-vaginal;ENDOVAGINAL;T-82000;;
SCT;59820001;Endo-vascular;ENDOVASCULAR;T-40000;;
SCT;29092000;Endo-venous;ENDOVENOUS;T-48000;;
SCT;48367006;Endo-vesical;ENDOVESICAL;T-74250;;
SCT;38266002;Entire body;WHOLEBODY;T-D0010;;
SCT;87644002;Epididymis;EPIDIDYMIS;T-95000;18255;
SCT;27947004;Epigastric region;EPIGASTRIC;T-D4200;;
SCT;32849002;Esophagus;ESOPHAGUS;T-56000;;
SCT;110861005;Esophagus, stomach and duodenum;;T-DD163;;
SCT;84301002;External auditory canal;EAC;T-AB200;;
SCT;22286001;External carotid artery;ECA;T-45200;;
SCT;113269004;External iliac artery;EXTILIACA;T-46910;;
SCT;63507001;External iliac vein;EXTILIACV;T-48930;;
SCT;71585003;External jugular vein;EXTJUGV;T-48160;13110;C0226543
SCT;66019005;Extremity;EXTREMITY;T-D0300;;
SCT;81745001;Eye;EYE;T-AA000;;
SCT;80243003;Eyelid;EYELID;T-AA810;;
SCT;371398005;Eye region;;T-D0801;;
SCT;89545001;Face;FACE;T-D1200;;
SCT;23074001;Facial artery;FACIALA;T-45240;;
SCT;91397008;Facial bones;;T-11196;;
SCT;7657000;Femoral artery;FEMORALA;T-47400;;
SCT;83419000;Femoral vein;FEMORALV;T-49410;;
SCT;71341001;Femur;FEMUR;T-12710;;
;;Fetal arm;FETALARM;;;
;;Fetal digit;FETALDIGIT;;;
;;Fetal heart;FETALHEART;;63931;
;;Fetal leg;FETALLEG;;;
;;Fetal pole;FETALPOLE;;;
SCT;87342007;Fibula;FIBULA;T-12750;;
SCT;7569003;Finger;FINGER;T-D8800;;
SCT;58602004;Flank;FLANK;T-D2310;;
SCT;79361005;Fontanel of skull;FONTANEL;T-15200;;
SCT;56459004;Foot;FOOT;T-D9700;;
SCT;14975008;Forearm;FOREARM;T-D8500;;
SCT;35918002;Fourth ventricle;4THVENTRICLE;T-A1820;;
SCT;28231008;Gallbladder;GALLBLADDER;T-63000;;
SCT;110568007;Gastric vein;GASTRICV;T-48820;;
SCT;128559007;Genicular artery;GENICULARA;T-47490;;
SCT;300571009;Gestational sac;GESTSAC;F-03FC9;;
SCT;46862004;Gluteal region;GLUTEAL;T-D2600;;
SCT;5928000;Great cardiac vein;;T-48420;;
SCT;60734001;Great saphenous vein;GSV;T-49530;21376;
SCT;85562004;Hand;HAND;T-D8700;;
SCT;69536005;Head;HEAD;T-D1100;;
SCT;774007;Head and Neck;HEADNECK;T-D1000;;
SCT;80891009;Heart;HEART;T-32000;;
SCT;76015000;Hepatic artery;HEPATICA;T-46420;;
SCT;8993003;Hepatic vein;HEPATICV;T-48720;;
SCT;24136001;Hip joint;HIP;T-15710;;
SCT;85050009;Humerus;HUMERUS;T-12410;;
SCT;128560002;Hunterian perforating vein;;T-4942A;;
SCT;11708003;Hypogastric region;HYPOGASTRIC;T-D4240;;
SCT;81502006;Hypopharynx;HYPOPHARYNX;T-55300;;
SCT;34516001;Ileum;ILEUM;T-58600;;
SCT;299716001;Iliac and/or femoral artery;;T-41068;;
SCT;10293006;Iliac artery;ILIACA;T-46700;;
SCT;244411005;Iliac vein;ILIACV;T-4940E;;
SCT;22356005;Ilium;ILIUM;T-12340;;
SCT;195416006;Inferior cardiac vein;;T-484A4;;
SCT;51249003;Inferior left pulmonary vein;;T-48540;;
SCT;33795007;Inferior mesenteric artery;INFMESA;T-46520;;
SCT;113273001;Inferior right pulmonary vein;;T-48520;;
SCT;64131007;Inferior vena cava;INFVENACAVA;T-48710;;
SCT;26893007;Inguinal region;INGUINAL;T-D7000;;
SCT;12691009;Innominate artery;INNOMINATEA;T-46010;;
SCT;8887007;Innominate vein;INNOMINATEV;T-48620;;
SCT;361078006;Internal Auditory Canal;IAC;T-AB959;;
SCT;86117002;Internal carotid artery;ICA;T-45300;;
SCT;90024005;Internal iliac artery;INTILIACA;T-46740;;
SCT;12123001;Internal jugular vein;INTJUGULARV;T-48170;;
SCT;69327007;Internal mammary artery;INTMAMMARYA;T-46200;;
SCT;818987002;Intra-abdominopelvic;;;;
SCT;131183008;Intra-articular;;G-A15A;;
SCT;1101003;Intracranial;INTRACRANIAL;T-D1400;;
SCT;32849002;Intra-esophageal;;T-56000;;
SCT;816989007;Intra-pelvic;;;;
SCT;43799004;Intra-thoracic;;;;
SCT;661005;Jaw region;JAW;T-D1213;;
SCT;21306003;Jejunum;JEJUNUM;T-58400;;
SCT;39352004;Joint;JOINT;T-15001;;
SCT;128563000;Juxtaposed atrial appendage;;D4-31052;;
SCT;64033007;Kidney;KIDNEY;T-71000;;
SCT;72696002;Knee;KNEE;T-D9200;;
SCT;59749000;Lacrimal artery;LACRIMALA;T-45410;;
SCT;128979005;Lacrimal artery of right eye;;T-45416;;
SCT;14742008;Large intestine;LARGEINTESTINE;T-59000;;
SCT;4596009;Larynx;LARYNX;T-24100;;
SCT;66720007;Lateral Ventricle;LATVENTRICLE;T-A1650;78448;
SCT;82471001;Left atrium;LATRIUM;T-32300;;
SCT;33626005;Left auricular appendage;;T-32310;;
SCT;113270003;Left femoral artery;LFEMORALA;T-47420;;
SCT;273202007;Left hepatic vein;LHEPATICV;T-48727;14339;
SCT;133945003;Left hypochondriac region;LHYPOCHONDRIAC;T-D4211;;
SCT;85119005;Left inguinal region;LINGUINAL;T-D7020;;
SCT;68505006;Left lower quadrant of abdomen;LLQ;T-D4140;;
SCT;133943005;Left lumbar region;LLUMBAR;T-D2340;;
SCT;70253006;Left portal vein;LPORTALV;T-48814;15415;
SCT;50408007;Left pulmonary artery;LPULMONARYA;T-44400;;
SCT;86367003;Left upper quadrant of abdomen;LUQ;T-D4130;;
SCT;87878005;Left ventricle;LVENTRICLE;T-32600;;
SCT;70238003;Left ventricle inflow;;T-32640;;
SCT;13418002;Left ventricle outflow tract;;T-32650;;
SCT;113264009;Lingual artery;LINGUALA;T-45230;;
SCT;10200004;Liver;LIVER;T-62000;;
SCT;19100000;Lower inner quadrant of breast;;T-04003;;
SCT;30021000;Lower leg;LEG;T-D9400;;
SCT;61685007;Lower limb;;T-D9000;;
SCT;33564002;Lower outer quadrant of breast;;T-04005;;
SCT;34635009;Lumbar artery;LUMBARA;T-46960;;
SCT;52612000;Lumbar region;LUMBAR;T-D2300;;
SCT;122496007;Lumbar spine;LSPINE;T-11503;;
SCT;297173004;Lumbo-sacral spine;LSSPINE;T-D00F9;;
SCT;91747007;Lumen of blood vessel;LUMEN;T-40230;;
SCT;39607008;Lung;LUNG;T-28000;;
SCT;91609006;Mandible;JAW;T-11180;;
SCT;59066005;Mastoid bone;MASTOID;T-11133;;
SCT;70925003;Maxilla;MAXILLA;T-11170;;
SCT;72410000;Mediastinum;MEDIASTINUM;T-D3300;;
SCT;86570000;Mesenteric artery;MESENTRICA;T-46500;;
SCT;128583004;Mesenteric vein;MESENTRICV;T-4884A;;
SCT;17232002;Middle cerebral artery;MCA;T-45600;50079;
SCT;273099000;Middle hepatic vein;MIDHEPATICV;T-48726;14340;
SCT;243977002;Morisons pouch;MORISONSPOUCH;T-D4434;;
SCT;123851003;Mouth;MOUTH;T-D0662;;
SCT;102292000;Muscle of lower limb;;T-14668;;
SCT;30608006;Muscle of upper limb;;T-13600;;
SCT;74386004;Nasal bone;;T-11149;;
SCT;360955006;Nasopharynx;NASOPHARYNX;T-2300C;;
SCT;45048000;Neck;NECK;T-D1600;;
SCT;416319003;Neck, Chest, Abdomen and Pelvis;NECKCHESTABDPELV;R-FAB54;;
SCT;416152001;Neck, Chest and Abdomen;NECKCHESTABDOMEN;R-FAB53;;
SCT;417437006;Neck and Chest;NECKCHEST;R-FAB52;;
SCT;45206002;Nose;NOSE;T-21000;;
SCT;31145008;Occipital artery;OCCPITALA;T-45250;;
SCT;32114007;Occipital vein;OCCIPTALV;T-48214;;
SCT;113346000;Omental bursa;;T-D4450;;
SCT;27398004;Omentum;;T-D4600;;
SCT;53549008;Ophthalmic artery;OPHTHALMICA;T-45400;;
SCT;55024004;Optic canal;OPTICCANAL;T-11102;;
SCT;363654007;Orbital structure;ORBIT;T-D14AE;;
SCT;15497006;Ovary;OVARY;T-87000;;
SCT;15776009;Pancreas;PANCREAS;T-65000;;
SCT;69930009;Pancreatic duct;PANCREATICDUCT;T-65010;;
SCT;110621006;Pancreatic duct and bile duct systems;;T-65600;;
SCT;2095001;Paranasal sinus;;T-22000;;
SCT;91691001;Parasternal;PARASTERNAL;T-D3136;;
SCT;111002;Parathyroid;PARATHYROID;T-B7000;;
SCT;45289007;Parotid gland;PAROTID;T-61100;;
SCT;64234005;Patella;PATELLA;T-12730;;
SCT;83330001;Patent ductus arteriosus;;D4-32012;;
SCT;816092008;Pelvis;PELVIS;;;
SCT;416631005;Pelvis and lower extremities;;R-FAB58;;
SCT;282044005;Penile artery;PENILEA;T-46807;66318;
SCT;18911002;Penis;PENIS;T-91000;;
SCT;38864007;Perineum;PERINEUM;T-D2700;;
SCT;8821006;Peroneal artery;PERONEALA;T-47630;;
DCM;113681;Phantom;;;;
SCT;54066008;Pharynx;PHARYNX;T-55000;;
SCT;312535008;Pharynx and larynx;PHARYNXLARYNX;T-20101;;
SCT;78067005;Placenta;PLACENTA;T-F1100;;
SCT;43899006;Popliteal artery;POPLITEALA;T-47500;;
SCT;32361000;Popliteal fossa;POPLITEALFOSSA;T-D9310;;
SCT;56849005;Popliteal vein;POPLITEALV;T-49650;44327;
SCT;32764006;Portal vein;PORTALV;T-48810;66645;
SCT;70382005;Posterior cerebral artery;PCA;T-45900;50583;
SCT;43119007;Posterior communicating artery;POSCOMMA;T-45320;;
SCT;128569001;Posterior medial tributary;;T-49535;;
SCT;13363002;Posterior tibial artery;POSTIBIALA;T-47600;;
SCT;14944004;Primitive aorta;;T-F7001;;
SCT;91707000;Primitive pulmonary artery;;T-F7040;;
SCT;31677005;Profunda femoris artery;PROFFEMA;T-47440;20741;
SCT;23438002;Profunda femoris vein;PROFFEMV;T-49660;51041;
SCT;41216001;Prostate;PROSTATE;T-92000;;
SCT;81040000;Pulmonary artery;PULMONARYA;T-44000;;
SCT;128584005;Pulmonary artery conduit;;D4-33142;;
SCT;128586007;Pulmonary chamber of cor triatriatum;;T-32190;;
SCT;122972007;Pulmonary vein;PULMONARYV;T-48581;;
SCT;128566008;Pulmonary vein confluence;;D4-33512;;
SCT;128567004;Pulmonary venous atrium;;D4-33514;;
SCT;45631007;Radial artery;RADIALA;T-47300;;
SCT;62413002;Radius;RADIUS;T-12420;;
SCT;110535000;Radius and ulna;RADIUSULNA;T-12403;;
SCT;53843000;Rectouterine pouch;CULDESAC;T-D6407;;
SCT;34402009;Rectum;RECTUM;T-59600;;
SCT;2841007;Renal artery;RENALA;T-46600;;
SCT;25990002;Renal pelvis;;T-72000;;
SCT;56400007;Renal vein;RENALV;T-48740;;
SCT;82849001;Retroperitoneum;RETROPERITONEUM;T-D4900;;
SCT;113197003;Rib;RIB;T-11300;;
SCT;73829009;Right atrium;RATRIUM;T-32200;;
SCT;68300000;Right auricular appendage;;T-32210;;
SCT;69833005;Right femoral artery;RFEMORALA;T-47410;;
SCT;272998002;Right hepatic vein;RHEPATICV;T-48725;14338;
SCT;133946002;Right hypochondriac region;RHYPOCHONDRIAC;T-D4212;;
SCT;37117007;Right inguinal region;RINGUINAL;T-D7010;;
SCT;48544008;Right lower quadrant of abdomen;RLQ;T-D4120;;
SCT;133944004;Right lumbar region;RLUMBAR;T-D2342;;
SCT;73931004;Right portal vein;RPORTALV;T-48813;15414;
SCT;78480002;Right pulmonary artery;RPULMONARYA;T-44200;;
SCT;50519007;Right upper quadrant of abdomen;RUQ;T-D4110;;
SCT;53085002;Right ventricle;RVENTRICLE;T-32500;;
SCT;8017000;Right ventricle inflow;;T-32540;;
SCT;44627009;Right ventricle outflow tract;;T-32550;;
SCT;39723000;Sacroiliac joint;SIJOINT;T-15680;;
SCT;54735007;Sacrum;SSPINE;T-11AD0;;
SCT;128587003;Saphenofemoral junction;SFJ;T-D930A;;
SCT;362072009;Saphenous vein;SAPHENOUSV;T-4940B;;C0036186
SCT;41695006;Scalp;SCALP;T-D1160;;
SCT;79601000;Scapula;SCAPULA;T-12280;;
SCT;18619003;Sclera;SCLERA;T-AA110;;
SCT;20233005;Scrotum;SCROTUM;T-98000;;
SCT;42575006;Sella turcica;SELLA;T-D1460;;
SCT;64739004;Seminal vesicle;SEMVESICLE;T-93000;19386;
SCT;58742003;Sesamoid bones of foot;SESAMOID;T-12980;;
SCT;16982005;Shoulder;SHOULDER;T-D2220;;
SCT;60184004;Sigmoid colon;SIGMOID;T-59470;;
SCT;89546000;Skull;SKULL;T-11100;;
SCT;30315005;Small intestine;SMALLINTESTINE;T-58000;;
SCT;2748008;Spinal cord;SPINALCORD;T-A7010;;
SCT;421060004;Spine;SPINE;T-D04FF;;
SCT;78961009;Spleen;SPLEEN;T-C3000;;
SCT;22083002;Splenic artery;SPLENICA;T-46460;;
SCT;35819009;Splenic vein;SPLENICV;T-48890;;
SCT;7844006;Sternoclavicular joint;SCJOINT;T-15610;;
SCT;56873002;Sternum;STERNUM;T-11210;;
SCT;69695003;Stomach;STOMACH;T-57000;;
SCT;36765005;Subclavian artery;SUBCLAVIANA;T-46100;;
SCT;9454009;Subclavian vein;SUBCLAVIANV;T-48330;;
SCT;19695001;Subcostal;SUBCOSTAL;T-D4210;;
SCT;5713008;Submandibular area;;T-D1603;;
SCT;54019009;Submandibular gland;SUBMANDIBULAR;T-61300;;
SCT;170887008;Submental;;T-D161E;;
SCT;5076001;Subxiphoid;;T-D3213;;
SCT;181349008;Superficial femoral artery;SFA;T-47403;323777;
SCT;397364003;Superficial femoral vein;SFV;G-035A;;
SCT;15672000;Superficial temporal artery;;T-45270;;
SCT;43863001;Superior left pulmonary vein;LSUPPULMONARYV;T-48530;;
SCT;42258001;Superior mesenteric artery;SMA;T-46510;;
SCT;8629005;Superior right pulmonary vein;RSUPPULMONARYV;T-48510;;
SCT;72021004;Superior thyroid artery;SUPTHYROIDA;T-45210;;
SCT;48345005;Superior vena cava;SVC;T-48610;;
SCT;77621008;Supraclavicular region of neck;SUPRACLAVICULAR;T-D1620;;
SCT;11708003;Suprapubic region;SUPRAPUBIC;T-D4240;;
SCT;26493002;Suprasternal notch;;T-11218;;
SCT;128589000;Systemic collateral artery to lung;;T-44007;;
SCT;128568009;Systemic venous atrium;;D4-33516;;
SCT;27949001;Tarsal joint;;T-15770;;
SCT;53620006;Temporomandibular joint;TMJ;T-15290;;
SCT;40689003;Testis;TESTIS;T-94000;;
SCT;42695009;Thalamus;THALAMUS;T-A4000;62007;
SCT;68367000;Thigh;THIGH;T-D9100;;
SCT;49841001;Third ventricle;3RDVENTRICLE;T-A1740;;
SCT;113262008;Thoracic aorta;THORACICAORTA;T-42070;;
SCT;122495006;Thoracic spine;TSPINE;T-11502;;
SCT;297172009;Thoraco-lumbar spine;TLSPINE;T-D00F8;;
SCT;43799004;Thorax;THORAX;;;
SCT;76505004;Thumb;THUMB;T-D8810;;
SCT;9875009;Thymus;THYMUS;T-C8000;;
SCT;69748006;Thyroid;THYROID;T-B6000;;
SCT;12611008;Tibia;TIBIA;T-12740;;
SCT;110536004;Tibia and fibula;TIBIAFIBULA;T-12701;;
SCT;29707007;Toe;TOE;T-D9800;;
SCT;21974007;Tongue;TONGUE;T-53000;;
SCT;44567001;Trachea;TRACHEA;T-25000;;
SCT;110726009;Trachea and bronchus;TRACHEABRONCHUS;T-DD006;;
SCT;485005;Transverse colon;TRANSVERSECOLON;T-59440;;
SCT;61959006;Truncus arteriosus communis;;D4-31400;;
SCT;57850000;Truncus coeliacus;;T-46400;;
SCT;23416004;Ulna;ULNA;T-12430;;
SCT;44984001;Ulnar artery;ULNARA;T-47200;;
SCT;50536004;Umbilical artery;UMBILICALA;T-F1810;;
SCT;90290004;Umbilical region;UMBILICAL;T-D4230;;
SCT;284639000;Umbilical vein;UMBILICALV;T-48832;;
SCT;40983000;Upper arm;ARM;T-D8200;;
SCT;77831004;Upper inner quadrant of breast;;T-04002;;
SCT;53120007;Upper limb;;T-D8000;;
SCT;76365002;Upper outer quadrant of breast;;T-04004;;
SCT;431491007;Upper urinary tract;UPRURINARYTRACT;T-7000B;;
SCT;87953007;Ureter;URETER;T-73000;;
SCT;13648007;Urethra;URETHRA;T-75000;;
SCT;35039007;Uterus;UTERUS;T-83000;;
SCT;110639002;Uterus and fallopian tubes;;T-88920;;
SCT;76784001;Vagina;VAGINA;T-82000;;
SCT;118375008;Vascular graft;;A-04140;;
SCT;29092000;Vein;VEIN;T-48000;;
SCT;34340008;Venous network;;T-48003;;
SCT;21814001;Ventricle;;T-32400;;
SCT;85234005;Vertebral artery;VERTEBRALA;T-45700;;
SCT;110517009;Vertebral column and cranium;;T-11011;;
SCT;45292006;Vulva;VULVA;T-81000;;
SCT;74670003;Wrist joint;WRIST;T-15460;;
SCT;13881006;Zygoma;ZYGOMA;T-11166;;
RACOON;1.3.6.1.4.1.41130.1.644.9.1;Lung ULL;upper lobe left;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.1;Lung ULL;Left upper lobe;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.2;Lung LLL;lower lobe left;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.2;Lung LLL;Left lower lobe;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.3;Lung ULR;upper lobe right;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.3;Lung ULR;Right upper lobe;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.4;Lung MLR;middle lobe right;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.4;Lung MLR;Right middle lobe;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.5;Lung LLR;lower lobe right;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.5;Lung LLR;Right lower lobe;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.6;Lung ALL;accessory lobe left;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.6;Lung ALL;Left accessory lobe;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.7;Lung ALR;accessory lobe right, auch z.B. Lobus V. azygos;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.7;Lung ALR;Right accessory lobe, auch z.B. Lobus V. azygos;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.8;Lung Left;left lung as whole;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.8;Lung Left;lung as whole left;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.9;Lung Right;right lung as whole;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.9;Lung Right;Lung as whole right;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.10;Trachea and mediastinal Bronchi;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.11;Intrapulmonary Bronchi;Luftwege;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.12;Vessels;Gefäße;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.13;Mediastinum/Hilus;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.21;Collapsed lung;Ate- und Dystelektasen durch Bronchusverschluss und Kompression;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.22;Cons Non-Tumor-Associated;Pneumonie, Granulome;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.23;Cons Nec Non-Tumor-Associated;Pneumonische Einschmelzung;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.24;Cons Tumor-Associated;Raumforderungen, Metastasen, Noduli;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.25;Cons Nec Tumor-Associated;Tumornekroseareale;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.26;Cons undefined dignity;Konsolidierung / Herd ohne Dignitätsaussage;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.27;Parenchymal calcification;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.28;GGO;Milchglasareal;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.29;Emphysema;Emphysem inkl. Bullae;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.30;Reticulation interlobular;"Zunehmender Fibrose-Schweregrad; interlobulär auch interstitielles Ödem";;;
RACOON;1.3.6.1.4.1.41130.1.644.9.31;Reticulation intralobular;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.32;Reticulation w/ architectural destruction;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.33;Reticulation Honey-combing;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.34;Cavity thick-walled;Kavernen, Lungenabszesse, Aspergillome;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.35;Cavity thin-walled;Pneumozysten, Pneumatozelen;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.41;Bronchus normal ventilated;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.42;Bronchus normal obstructed;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.43;Bronchus ectatic ventilated;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.44;Bronchus ectatic obstructed;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.45;Bronchus Tree-in-bud;Bronchiolitis-Zeichen;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.51;Pulmonary Embolus;sichtbarer pulmonalarterieller Embolus;;;
